Mateo;71265623;74105
Adrian;71246774;55208
Leo;71250504;74254
Diego;71255630;63401
Pablo;71238448;61207
Diego;71244386;55448
Diego;71255101;62861
Izan;71239568;80721
Manuel;71241705;69066
Adrian;71237000;67078
David;71263479;75049
David;71240067;71010
Martin;71252850;75378
Martin;71256412;80066
Diego;71263674;53831
Manuel;71251482;52222
Martin;71238597;70864
Leo;71237144;75404
Manuel;71253536;71753
Adrian;71265039;51934
Enzo;71256913;60489
Alvaro;71248539;78398
Pablo;71253416;75746
Pablo;71258151;69796
Diego;71241894;65756
Daniel;71245119;51508
Diego;71251071;64699
Pablo;71244204;55141
Martin;71252834;77919
Hugo;71259898;63999
Mario;71245709;67916
Enzo;71267112;50294
Lucas;71248475;59393
David;71244983;77898
Mario;71246787;62707
Pablo;71241310;76661
Enzo;71266061;74236
Alvaro;71254774;82444
Marco;71263395;51289
Hugo;71242381;77979
Pablo;71262789;55193
Izan;71241634;80367
Pablo;71238159;74757
Daniel;71264232;54848
Adrian;71237134;74601
Hugo;71257650;68351
Mateo;71256406;56641
Hugo;71244624;82351
Hugo;71248091;69568
Mario;71266818;72086
Manuel;71263611;73004
David;71259731;82731
Diego;71261686;52597
Lucas;71262963;50566
Diego;71244488;56864
Mario;71247721;60737
Daniel;71261992;52953
Mateo;71258176;57736
Lucas;71260563;58182
Alex;71243373;51023
Mario;71261097;66292
Javier;71247267;50148
Alex;71251022;67190
Marco;71254361;59220
Lucas;71252041;77063
Marco;71237288;56417
Mateo;71238868;63572
Javier;71236934;65273
Izan;71263455;70717
Marco;71251024;64367
Martin;71257330;52903
Alvaro;71251874;75744
Manuel;71265010;67507
Alvaro;71262441;79506
Diego;71245364;64764
Mario;71242675;64300
Marco;71246246;62122
Daniel;71235116;71185
Manuel;71242994;70523
Manuel;71237707;82000
Lucas;71250664;64778
Manuel;71254423;63455
Leo;71250585;57352
Izan;71254476;81692
David;71261660;62490
Enzo;71236364;54217
Mario;71246653;52637
Leo;71248991;65796
Diego;71246470;63358
Javier;71252394;52449
Leo;71252575;73190
Izan;71240304;69042
Leo;71254712;75377
Daniel;71265003;80938
David;71250683;55581
